group,d_full,d_kappa,d_isr
r90,2.990363597869873,2.7732315063476562,2.1510536670684814
r180,2.4277193546295166,0.9098712801933289,3.4827167987823486
r270,1.9872690439224243,3.2163219451904297,4.722118377685547
flip_h,2.5533058643341064,1.6863141059875488,1.6942604780197144
flip_h_r90,3.699105978012085,4.589949131011963,2.8323216438293457
flip_h_r180,0.8866001963615417,1.1707348823547363,0.7732273936271667
flip_h_r270,3.8737354278564453,1.580315351486206,2.148052215576172
r90,1.5534265041351318,1.4602316617965698,1.3087217807769775
r180,1.6035295724868774,1.2502915859222412,2.7424893379211426
r270,1.3923496007919312,1.0432096719741821,0.9664859175682068
flip_h,1.0694987773895264,1.9241586923599243,2.965428590774536
flip_h_r90,0.4685080647468567,1.8366636037826538,0.9454697966575623
flip_h_r180,1.0221641063690186,4.0813093185424805,2.4917819499969482
flip_h_r270,1.279908299446106,1.5325192213058472,2.2627079486846924
r90,2.115990400314331,1.4760513305664062,1.1742931604385376
r180,0.5829594731330872,1.5959433317184448,1.9098485708236694
r270,4.542700290679932,0.3131121098995209,1.3513034582138062
flip_h,1.0460693836212158,1.0631649494171143,1.7049975395202637
flip_h_r90,3.4194533824920654,0.16690662503242493,2.127948045730591
flip_h_r180,2.6467931270599365,2.056499719619751,3.712057113647461
flip_h_r270,4.807060241699219,1.264034628868103,0.799839437007904
r90,3.7057945728302,3.527618885040283,3.5268774032592773
r180,0.8129501342773438,2.818101644515991,6.62316370010376
r270,6.340428352355957,3.1631903648376465,8.0637845993042
flip_h,2.2042133808135986,2.037846803665161,8.592952728271484
flip_h_r90,1.7409796714782715,4.179022789001465,5.185702800750732
flip_h_r180,5.285238265991211,2.5422439575195312,2.037396192550659
flip_h_r270,8.434711456298828,2.3934733867645264,4.02250862121582
r90,6.475609302520752,5.317707538604736,7.855382919311523
r180,2.9378607273101807,7.3306708335876465,3.3986518383026123
r270,8.22773551940918,8.527087211608887,6.840433120727539
flip_h,2.0748581886291504,1.3398206233978271,1.7243131399154663
flip_h_r90,7.344856262207031,6.875804424285889,9.091381072998047
flip_h_r180,0.8134556412696838,1.3971420526504517,1.119517207145691
flip_h_r270,9.675987243652344,5.712546348571777,7.975457668304443
r90,6.41938591003418,5.045736312866211,5.256489276885986
