img_idx,group_name,group_label,true_class,orig_idx
0,r90,0,2,11
0,r180,1,2,11
0,r270,2,2,11
0,flip_h,3,2,11
0,flip_h_r90,4,2,11
0,flip_h_r180,5,2,11
0,flip_h_r270,6,2,11
1,r90,0,2,17
1,r180,1,2,17
1,r270,2,2,17
1,flip_h,3,2,17
1,flip_h_r90,4,2,17
1,flip_h_r180,5,2,17
1,flip_h_r270,6,2,17
2,r90,0,0,27
2,r180,1,0,27
2,r270,2,0,27
2,flip_h,3,0,27
2,flip_h_r90,4,0,27
2,flip_h_r180,5,0,27
2,flip_h_r270,6,0,27
3,r90,0,1,36
3,r180,1,1,36
3,r270,2,1,36
3,flip_h,3,1,36
3,flip_h_r90,4,1,36
3,flip_h_r180,5,1,36
3,flip_h_r270,6,1,36
4,r90,0,0,49
4,r180,1,0,49
4,r270,2,0,49
4,flip_h,3,0,49
4,flip_h_r90,4,0,49
4,flip_h_r180,5,0,49
4,flip_h_r270,6,0,49
5,r90,0,0,62
5,r180,1,0,62
5,r270,2,0,62
5,flip_h,3,0,62
5,flip_h_r90,4,0,62
5,flip_h_r180,5,0,62
5,flip_h_r270,6,0,62
6,r90,0,2,80
6,r180,1,2,80
6,r270,2,2,80
6,flip_h,3,2,80
6,flip_h_r90,4,2,80
6,flip_h_r180,5,2,80
6,flip_h_r270,6,2,80
7,r90,0,2,112
7,r180,1,2,112
7,r270,2,2,112
7,flip_h,3,2,112
7,flip_h_r90,4,2,112
7,flip_h_r180,5,2,112
7,flip_h_r270,6,2,112
8,r90,0,1,114
8,r180,1,1,114
8,r270,2,1,114
8,flip_h,3,1,114
8,flip_h_r90,4,1,114
8,flip_h_r180,5,1,114
8,flip_h_r270,6,1,114
9,r90,0,0,141
9,r180,1,0,141
9,r270,2,0,141
9,flip_h,3,0,141
9,flip_h_r90,4,0,141
9,flip_h_r180,5,0,141
9,flip_h_r270,6,0,141
10,r90,0,0,155
10,r180,1,0,155
10,r270,2,0,155
10,flip_h,3,0,155
10,flip_h_r90,4,0,155
