model,hook,mean,std
D4LensPINN,H11_inv_lens,18.0026871868968,12.805261314130453
D4LensPINN,H00_preprocess,3.362521678400891,2.487113986007254
D4LensPINN,H01_enc1,3.362521678400891,2.487113986007254
D4LensPINN,H08_kappa_out,3.362521678400891,2.487113986007254
D4LensPINN,H02_enc2,3.2314798186187232,2.514409144390097
D4LensPINN,H12_HANDOFF,3.1742106759135744,2.205947484252637
D4LensPINN,H12b_input_proj,3.1742106759135744,2.205947484252637
D4LensPINN,H13_eff3,3.1742106759135744,2.205947484252637
D4LensPINN,H13b_eff4,3.1742106759135744,2.205947484252637
D4LensPINN,H14_eff5,3.1742106759135744,2.205947484252637
D4LensPINN,H14b_eff6,3.1742106759135744,2.205947484252637
D4LensPINN,H15_before_gap,3.1742106759135744,2.205947484252637
D4LensPINN,H16_after_gap,3.1742106759135744,2.205947484252637
D4LensPINN,H17_pre_linear,3.1742106759135744,2.205947484252637
D4LensPINN,H03_enc3,1.315813417498222,1.3215816835860308
D4LensPINN,H04_bot,1.1822843010504065,1.1986338306135984
D4LensPINN,H09_poisson,0.40193451504988065,0.3398394369075493
D4LensPINN,H10_deflection,0.40193451504988065,0.3398394369075493
ResNet18,R00_stem,6.334333300947079,5.384996661566992
ResNet18,R01_layer1,6.334333300947079,5.384996661566992
ResNet18,R02_layer2,6.334333300947079,5.384996661566992
ResNet18,R03_layer3,6.334333300947079,5.384996661566992
ResNet18,R04_before_gap,6.334333300947079,5.384996661566992
ResNet18,R05_after_gap,6.334333300947079,5.384996661566992
ResNet18,R06_fc,6.334333300947079,5.384996661566992
