model,hook,true_class,n_features,n_samples,accuracy_mean,accuracy_std,chance_level
D4LensPINN,H08kappaout,0,1,469,0.12365591397849462,0.02183794410329169,0.14285714285714285
D4LensPINN,H08kappaout,1,1,469,0.1108899565316861,0.020929686511815968,0.14285714285714285
D4LensPINN,H08kappaout,2,1,462,0.10825151940158953,0.019517192781765145,0.14285714285714285
D4LensPINN,H09poisson,0,1,469,0.11940059482955845,0.02461283742070042,0.14285714285714285
D4LensPINN,H09poisson,1,1,469,0.11727293525509037,0.013465910252052153,0.14285714285714285
D4LensPINN,H09poisson,2,1,462,0.1211313697989715,0.02637162640058497,0.14285714285714285
D4LensPINN,H11invlens,0,1,469,0.11727293525509037,0.01505324189550478,0.14285714285714285
D4LensPINN,H11invlens,1,1,469,0.10670327156257149,0.030545971387597737,0.14285714285714285
D4LensPINN,H11invlens,2,1,462,0.0951846657316503,0.010077377155910226,0.14285714285714285
D4LensPINN,H12HANDOFF,0,4,469,0.10235644017387324,0.020898378324765612,0.14285714285714285
D4LensPINN,H12HANDOFF,1,4,469,0.07467398764584762,0.035088515430493204,0.14285714285714285
D4LensPINN,H12HANDOFF,2,4,462,0.09308087891538103,0.03269405080419722,0.14285714285714285
D4LensPINN,H13eff3,0,64,469,0.40301990391214826,0.02930735735364726,0.14285714285714285
D4LensPINN,H13eff3,1,64,469,0.29215282544040266,0.03988315857299383,0.14285714285714285
D4LensPINN,H13eff3,2,64,462,0.30306217858812523,0.041937073472895006,0.14285714285714285
D4LensPINN,H15beforegap,0,1280,469,0.24733470601692975,0.014073149920594592,0.14285714285714285
D4LensPINN,H15beforegap,1,1280,469,0.22825440402653854,0.0259864550462517,0.14285714285714285
D4LensPINN,H15beforegap,2,1280,462,0.17968676951846657,0.025560087931348122,0.14285714285714285
D4LensPINN,H16aftergap,0,1280,469,0.24733470601692975,0.014073149920594592,0.14285714285714285
D4LensPINN,H16aftergap,1,1280,469,0.22825440402653854,0.0259864550462517,0.14285714285714285
D4LensPINN,H16aftergap,2,1280,462,0.17968676951846657,0.025560087931348122,0.14285714285714285
ResNet18,R04_before_gap,0,512,469,0.31336078700526193,0.04291375228996474,0.14285714285714285
ResNet18,R04_before_gap,1,512,469,0.20459849004804392,0.024008624593792854,0.14285714285714285
ResNet18,R04_before_gap,2,512,462,0.14289387564282374,0.0359432621935287,0.14285714285714285
ResNet18,R05_after_gap,0,512,469,0.31336078700526193,0.04291375228996474,0.14285714285714285
ResNet18,R05_after_gap,1,512,469,0.20459849004804392,0.024008624593792854,0.14285714285714285
ResNet18,R05_after_gap,2,512,462,0.14289387564282374,0.0359432621935287,0.14285714285714285
ResNet18,R06_fc,0,3,469,0.27940974605353464,0.041838373699718545,0.14285714285714285
ResNet18,R06_fc,1,3,469,0.18762296957218028,0.023791466421767975,0.14285714285714285
ResNet18,R06_fc,2,3,462,0.20773726040205703,0.040583345558380085,0.14285714285714285
