model,hook,n_features,accuracy_mean,accuracy_std,chance_level,significant
D4LensPINN,H08kappaout,1,0.12214285714285714,0.012453996981544781,0.14285714285714285,False
D4LensPINN,H09poisson,1,0.12357142857142855,0.009741558354989898,0.14285714285714285,False
D4LensPINN,H11invlens,1,0.12571428571428572,0.007953949089757176,0.14285714285714285,False
D4LensPINN,H12HANDOFF,4,0.12428571428571426,0.01987203963320508,0.14285714285714285,False
D4LensPINN,H13eff3,64,0.38285714285714284,0.020873770280289222,0.14285714285714285,True
D4LensPINN,H15beforegap,1280,0.2342857142857143,0.01385051387833237,0.14285714285714285,True
D4LensPINN,H16aftergap,1280,0.2342857142857143,0.01385051387833237,0.14285714285714285,True
ResNet18,R04_before_gap,512,0.2785714285714286,0.022015764296317776,0.14285714285714285,True
ResNet18,R05_after_gap,512,0.2785714285714286,0.022015764296317776,0.14285714285714285,True
ResNet18,R06_fc,3,0.215,0.03016958868848982,0.14285714285714285,True
