model,img_idx,true_class,group,hook,repr_dist
D4LensPINN,0,2,e,H00_preprocess,0.0
D4LensPINN,0,2,e,H01_enc1,0.0
D4LensPINN,0,2,e,H02_enc2,0.0
D4LensPINN,0,2,e,H03_enc3,0.0
D4LensPINN,0,2,e,H04_bot,0.0
D4LensPINN,0,2,e,H08_kappa_out,0.0
D4LensPINN,0,2,e,H09_poisson,0.0
D4LensPINN,0,2,e,H10_deflection,0.0
D4LensPINN,0,2,e,H11_inv_lens,0.0
D4LensPINN,0,2,e,H12_HANDOFF,0.0
D4LensPINN,0,2,e,H12b_input_proj,0.0
D4LensPINN,0,2,e,H13_eff3,0.0
D4LensPINN,0,2,e,H13b_eff4,0.0
D4LensPINN,0,2,e,H14_eff5,0.0
D4LensPINN,0,2,e,H14b_eff6,0.0
D4LensPINN,0,2,e,H15_before_gap,0.0
D4LensPINN,0,2,e,H16_after_gap,0.0
D4LensPINN,0,2,e,H17_pre_linear,0.0
D4LensPINN,0,2,r90,H00_preprocess,1.2273593935487395
D4LensPINN,0,2,r90,H01_enc1,1.1455089708531785
D4LensPINN,0,2,r90,H02_enc2,1.0676413902725235
D4LensPINN,0,2,r90,H03_enc3,0.7227313964884421
D4LensPINN,0,2,r90,H04_bot,0.4206135734309283
D4LensPINN,0,2,r90,H08_kappa_out,0.8284004016669384
D4LensPINN,0,2,r90,H09_poisson,0.0437357680382763
D4LensPINN,0,2,r90,H10_deflection,0.2587515418620887
D4LensPINN,0,2,r90,H11_inv_lens,0.7117224577172241
D4LensPINN,0,2,r90,H12_HANDOFF,0.7129133324073393
D4LensPINN,0,2,r90,H12b_input_proj,0.8509560946847056
D4LensPINN,0,2,r90,H13_eff3,0.9327162091610921
D4LensPINN,0,2,r90,H13b_eff4,0.8305420363145255
D4LensPINN,0,2,r90,H14_eff5,0.9091839493010774
D4LensPINN,0,2,r90,H14b_eff6,0.5563998092539871
D4LensPINN,0,2,r90,H15_before_gap,1.0201211072660192
D4LensPINN,0,2,r90,H16_after_gap,0.663103840264814
D4LensPINN,0,2,r90,H17_pre_linear,0.663103840264814
D4LensPINN,0,2,r180,H00_preprocess,1.2531598702622264
D4LensPINN,0,2,r180,H01_enc1,1.094692396742222
D4LensPINN,0,2,r180,H02_enc2,0.917426605868058
D4LensPINN,0,2,r180,H03_enc3,0.6898691231881655
D4LensPINN,0,2,r180,H04_bot,0.33088971778356885
D4LensPINN,0,2,r180,H08_kappa_out,0.7757091798618538
D4LensPINN,0,2,r180,H09_poisson,0.02616782513575786
D4LensPINN,0,2,r180,H10_deflection,0.24155026081443653
D4LensPINN,0,2,r180,H11_inv_lens,0.7440671365593347
D4LensPINN,0,2,r180,H12_HANDOFF,0.7459365965791092
D4LensPINN,0,2,r180,H12b_input_proj,0.8973729296153306
D4LensPINN,0,2,r180,H13_eff3,0.9340801759577788
D4LensPINN,0,2,r180,H13b_eff4,0.8787912756016473
D4LensPINN,0,2,r180,H14_eff5,0.9231901622443203
D4LensPINN,0,2,r180,H14b_eff6,0.5754865408746964
D4LensPINN,0,2,r180,H15_before_gap,1.2226315840354105
D4LensPINN,0,2,r180,H16_after_gap,0.48814273479209724
D4LensPINN,0,2,r180,H17_pre_linear,0.48814273479209724
D4LensPINN,0,2,r270,H00_preprocess,1.2273593935487395
D4LensPINN,0,2,r270,H01_enc1,0.9991845760653144
D4LensPINN,0,2,r270,H02_enc2,0.8653444730566215
D4LensPINN,0,2,r270,H03_enc3,0.6157691200691333
D4LensPINN,0,2,r270,H04_bot,0.3930992510873408
D4LensPINN,0,2,r270,H08_kappa_out,0.7873125774327366
D4LensPINN,0,2,r270,H09_poisson,0.04503884146503578
D4LensPINN,0,2,r270,H10_deflection,0.2443630272157786
D4LensPINN,0,2,r270,H11_inv_lens,0.711383490467865
D4LensPINN,0,2,r270,H12_HANDOFF,0.7127499586091491
D4LensPINN,0,2,r270,H12b_input_proj,0.8531956229702558
D4LensPINN,0,2,r270,H13_eff3,0.9282612459098856
D4LensPINN,0,2,r270,H13b_eff4,0.846157602629722
D4LensPINN,0,2,r270,H14_eff5,0.8991820468497025
D4LensPINN,0,2,r270,H14b_eff6,0.4501005867790885
D4LensPINN,0,2,r270,H15_before_gap,0.8313433104592772
D4LensPINN,0,2,r270,H16_after_gap,0.44071110884665055
D4LensPINN,0,2,r270,H17_pre_linear,0.44071110884665055
D4LensPINN,0,2,flip_h,H00_preprocess,1.2674524865999803
D4LensPINN,0,2,flip_h,H01_enc1,1.1776890176643802
D4LensPINN,0,2,flip_h,H02_enc2,1.0867292274026905
D4LensPINN,0,2,flip_h,H03_enc3,0.6942288089979909
D4LensPINN,0,2,flip_h,H04_bot,0.33736717916140524
D4LensPINN,0,2,flip_h,H08_kappa_out,0.7697491498338024
D4LensPINN,0,2,flip_h,H09_poisson,0.02667621725466646
D4LensPINN,0,2,flip_h,H10_deflection,0.21144059616653044
D4LensPINN,0,2,flip_h,H11_inv_lens,0.7090279310354359
