model,h1,h2,statistic,p_raw,p_bonferroni,significant,direction
D4LensPINN,H00_preprocess,H01_enc1,0.0,,,False,NONE
D4LensPINN,H01_enc1,H02_enc2,572258.0,3.0871832406313e-08,5.24821150907321e-07,True,DROP
D4LensPINN,H02_enc2,H03_enc3,860351.0,2.2224497840045018e-132,3.778164632807653e-131,True,DROP
D4LensPINN,H03_enc3,H04_bot,713206.0,2.0814784000222817e-49,3.538513280037879e-48,True,DROP
D4LensPINN,H04_bot,H08_kappa_out,78786.0,3.062053351102963e-163,5.205490696875038e-162,True,RISE
D4LensPINN,H08_kappa_out,H09_poisson,977224.0,1.6949696682386707e-227,2.88144843600574e-226,True,DROP
D4LensPINN,H09_poisson,H10_deflection,0.0,,,False,NONE
D4LensPINN,H10_deflection,H11_inv_lens,1.0,1.0110030311038549e-230,1.7187051528765535e-229,True,RISE
D4LensPINN,H11_inv_lens,H12_HANDOFF,974166.0,1.1161158252561637e-224,1.8973969029354783e-223,True,DROP
D4LensPINN,H12_HANDOFF,H12b_input_proj,0.0,,,False,NONE
D4LensPINN,H12b_input_proj,H13_eff3,0.0,,,False,NONE
D4LensPINN,H13_eff3,H13b_eff4,0.0,,,False,NONE
D4LensPINN,H13b_eff4,H14_eff5,0.0,,,False,NONE
D4LensPINN,H14_eff5,H14b_eff6,0.0,,,False,NONE
D4LensPINN,H14b_eff6,H15_before_gap,0.0,,,False,NONE
D4LensPINN,H15_before_gap,H16_after_gap,0.0,,,False,NONE
D4LensPINN,H16_after_gap,H17_pre_linear,0.0,,,False,NONE
ResNet18,R00_stem,R01_layer1,0.0,,,False,NONE
ResNet18,R01_layer1,R02_layer2,0.0,,,False,NONE
ResNet18,R02_layer2,R03_layer3,0.0,,,False,NONE
ResNet18,R03_layer3,R04_before_gap,0.0,,,False,NONE
ResNet18,R04_before_gap,R05_after_gap,0.0,,,False,NONE
ResNet18,R05_after_gap,R06_fc,0.0,,,False,NONE
