model,img_idx,true_class,group,hook,delta_l2,act_diff_sq
VanillaLensPINN,11,2,e,H00_preprocess,0.0,0.0
VanillaLensPINN,11,2,e,H01_enc1,0.0,0.0
VanillaLensPINN,11,2,e,H02_enc2,0.0,0.0
VanillaLensPINN,11,2,e,H03_enc3,0.0,0.0
VanillaLensPINN,11,2,e,H04_bot,0.0,0.0
VanillaLensPINN,11,2,e,H08_kappa_out,0.0,0.0
VanillaLensPINN,11,2,e,H09_poisson,0.0,0.0
VanillaLensPINN,11,2,e,H10_deflection,0.0,0.0
VanillaLensPINN,11,2,e,H11_inv_lens,0.0,0.0
VanillaLensPINN,11,2,e,H12_HANDOFF,0.0,0.0
VanillaLensPINN,11,2,e,H13_eff3,0.0,0.0
VanillaLensPINN,11,2,e,H13b_eff4,0.0,0.0
VanillaLensPINN,11,2,e,H14_eff5,0.0,0.0
VanillaLensPINN,11,2,e,H14b_eff6,0.0,0.0
VanillaLensPINN,11,2,e,H15_before_gap,0.0,0.0
VanillaLensPINN,11,2,e,H16_after_gap,0.0,0.0
VanillaLensPINN,11,2,e,H17_pre_linear,0.0,0.0
VanillaLensPINN,11,2,r90,H00_preprocess,2.01800537109375,1103.6748046875
VanillaLensPINN,11,2,r90,H01_enc1,2.01800537109375,306269.21875
VanillaLensPINN,11,2,r90,H02_enc2,6.333894729614258,175286.015625
VanillaLensPINN,11,2,r90,H03_enc3,0.677097499370575,64907.75
VanillaLensPINN,11,2,r90,H04_bot,0.7054238319396973,1802990.125
VanillaLensPINN,11,2,r90,H08_kappa_out,2.01800537109375,7.82323694229126
VanillaLensPINN,11,2,r90,H09_poisson,0.5662211179733276,46198.71484375
VanillaLensPINN,11,2,r90,H10_deflection,0.5662211179733276,254.62548828125
VanillaLensPINN,11,2,r90,H11_inv_lens,5.062623023986816,333.8401679992676
VanillaLensPINN,11,2,r90,H12_HANDOFF,0.5293499827384949,636.037841796875
VanillaLensPINN,11,2,r90,H13_eff3,0.5293499827384949,664132.125
VanillaLensPINN,11,2,r90,H13b_eff4,0.5293499827384949,249767.03125
VanillaLensPINN,11,2,r90,H14_eff5,0.5293499827384949,296713.90625
VanillaLensPINN,11,2,r90,H14b_eff6,0.5293499827384949,176326.65625
VanillaLensPINN,11,2,r90,H15_before_gap,0.5293499827384949,14332.4755859375
VanillaLensPINN,11,2,r90,H16_after_gap,0.5293499827384949,1.6736910343170166
