model,hook,fold,accuracy,n_train,n_test
VanillaLensPINN,H09_poisson,1,0.12142857142857143,1120,280
VanillaLensPINN,H09_poisson,2,0.16071428571428573,1120,280
VanillaLensPINN,H09_poisson,3,0.16428571428571428,1120,280
VanillaLensPINN,H09_poisson,4,0.16071428571428573,1120,280
VanillaLensPINN,H09_poisson,5,0.16071428571428573,1120,280
VanillaLensPINN,H12_handoff,1,0.14285714285714285,1120,280
VanillaLensPINN,H12_handoff,2,0.14285714285714285,1120,280
VanillaLensPINN,H12_handoff,3,0.14285714285714285,1120,280
VanillaLensPINN,H12_handoff,4,0.14285714285714285,1120,280
VanillaLensPINN,H12_handoff,5,0.14285714285714285,1120,280
